<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2020.HK,5,20210816,033000,167.9,169.3,167.3,168.2,234000,0
2020.HK,5,20210816,033500,168.2,168.2,166.5,166.7,143715,0
2020.HK,5,20210816,034000,166.7,167.6,166.5,167.2,104000,0
2020.HK,5,20210816,034500,167.2,167.2,165.2,166,60000,0
2020.HK,5,20210816,035000,166,166.4,164.5,165.5,156000,0
2020.HK,5,20210816,035500,165.5,167.3,165.4,166.9,110000,0
2020.HK,5,20210816,040000,166.9,168.2,166.5,168,101000,0
2020.HK,5,20210816,040500,168,168.3,167.9,168.1,96000,0
2020.HK,5,20210816,041000,168.1,168.7,168.1,168.6,70000,0
2020.HK,5,20210816,041500,168.6,168.6,167.3,167.4,112000,0
2020.HK,5,20210816,042000,167.4,167.5,166,166.2,160000,0
2020.HK,5,20210816,042500,166.2,166.5,166.1,166.1,31000,0
2020.HK,5,20210816,043000,166.1,166.1,165.9,165.9,42000,0
2020.HK,5,20210816,043500,165.9,166,165.5,165.5,91000,0
2020.HK,5,20210816,044000,165.5,167.5,165.5,167.5,49400,0
2020.HK,5,20210816,044500,167.5,168.3,167.3,168,78000,0
2020.HK,5,20210816,045000,168,168.3,168,168.1,53000,0
2020.HK,5,20210816,045500,168.1,168.5,167.6,167.6,82000,0
2020.HK,5,20210816,050000,167.6,167.8,167.4,167.4,18000,0
2020.HK,5,20210816,050500,167.4,167.6,166.8,167.2,23000,0
2020.HK,5,20210816,051000,167,167,166.7,166.7,15000,0
2020.HK,5,20210816,051500,166.7,166.8,166,166,59000,0
2020.HK,5,20210816,052000,166,166.8,166,166.6,81000,0
2020.HK,5,20210816,052500,166.6,167,166.5,167,58000,0
2020.HK,5,20210816,053000,167,167.1,166.6,166.7,40000,0
2020.HK,5,20210816,053500,166.7,166.7,166.4,166.4,25000,0
2020.HK,5,20210816,054000,166.4,166.8,166.4,166.8,31000,0
2020.HK,5,20210816,054500,166.8,166.9,166.7,166.9,27000,0
2020.HK,5,20210816,055000,166.9,167.2,166.9,167.2,19000,0
2020.HK,5,20210816,055500,167.2,167.2,167,167.1,31000,0
2020.HK,5,20210816,070000,167.2,168.1,167,167.8,185000,0
2020.HK,5,20210816,070500,167.8,168.3,167.4,167.7,150000,0
2020.HK,5,20210816,071000,167.7,167.9,167.3,167.3,87000,0
2020.HK,5,20210816,071500,167.3,167.5,166.8,167.5,53000,0
