<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
914.HK,D,20060201,000000,2.9513,2.9513,2.9513,2.9513,19191774,0
914.HK,D,20060206,000000,3.0526,3.0526,3.0526,3.0526,17147756,0
914.HK,D,20060208,000000,2.9008,2.9008,2.9008,2.9008,8123426,0
914.HK,D,20060213,000000,2.8502,2.8502,2.8502,2.8502,2767087,0
914.HK,D,20060215,000000,2.7869,2.7869,2.7869,2.7869,8226570,0
914.HK,D,20060220,000000,2.9133,2.9133,2.9133,2.9133,5960973,0
914.HK,D,20060222,000000,2.8502,2.8502,2.8502,2.8502,4516968,0
914.HK,D,20060227,000000,2.8502,2.8502,2.8502,2.8502,2233588,0
914.HK,D,20060301,000000,2.9133,2.9133,2.9133,2.9133,14966455,0
914.HK,D,20060306,000000,2.9513,2.9513,2.9513,2.9513,3286359,0
914.HK,D,20060308,000000,2.7616,2.7616,2.7616,2.7616,21973088,0
914.HK,D,20060313,000000,2.9513,2.9513,2.9513,2.9513,4701913,0
914.HK,D,20060315,000000,2.8881,2.8881,2.8881,2.8881,2991371,0
914.HK,D,20060320,000000,2.6856,2.6856,2.6856,2.6856,11694320,0
914.HK,D,20060322,000000,2.7489,2.7489,2.7489,2.7489,6921274,0
914.HK,D,20060327,000000,2.8123,2.8123,2.8123,2.8123,4694800,0
914.HK,D,20060329,000000,2.8881,2.8881,2.8881,2.8881,4602327,0
914.HK,D,20060403,000000,2.9133,2.9133,2.9133,2.9133,1927713,0
914.HK,D,20060406,000000,2.7869,2.7869,2.7869,2.7869,22698647,0
914.HK,D,20060411,000000,2.9008,2.9008,2.9008,2.9008,6782563,0
914.HK,D,20060413,000000,2.9893,2.9893,2.9893,2.9893,12767011,0
914.HK,D,20060419,000000,3.3317,3.3317,3.3317,3.3317,25189737,0
914.HK,D,20060424,000000,3.4835,3.4835,3.4835,3.4835,10847834,0
914.HK,D,20060426,000000,3.1799,3.1799,3.1799,3.1799,11740556,0
914.HK,D,20060502,000000,3.433,3.433,3.433,3.433,9112181,0
914.HK,D,20060504,000000,3.6733,3.6733,3.6733,3.6733,2444589,0
914.HK,D,20060510,000000,4.0285,4.0285,4.0285,4.0285,7696627,0
914.HK,D,20060512,000000,3.9778,3.9778,3.9778,3.9778,4438720,0
914.HK,D,20060517,000000,4.0336,4.0336,4.0336,4.0336,3602903,0
914.HK,D,20060519,000000,4.122,4.122,4.122,4.122,18850334,0
914.HK,D,20060524,000000,3.8548,3.8548,3.8548,3.8548,8936482,0
914.HK,D,20060526,000000,4.02,4.02,4.02,4.02,11630301,0
914.HK,D,20060601,000000,3.4734,3.4734,3.4734,3.4734,8692495,0
914.HK,D,20060605,000000,3.5494,3.5494,3.5494,3.5494,2967278,0
914.HK,D,20060608,000000,3.1934,3.1934,3.1934,3.1934,21958861,0
914.HK,D,20060612,000000,3.2441,3.2441,3.2441,3.2441,7796214,0
914.HK,D,20060615,000000,3.0915,3.0915,3.0915,3.0915,14468520,0
914.HK,D,20060619,000000,3.2566,3.2566,3.2566,3.2566,2219360,0
914.HK,D,20060622,000000,2.9776,2.9776,2.9776,2.9776,26122103,0
914.HK,D,20060626,000000,3.0407,3.0407,3.0407,3.0407,7469001,0
914.HK,D,20060628,000000,3.0535,3.0535,3.0535,3.0535,6188601,0
914.HK,D,20060703,000000,3.1808,3.1808,3.1808,3.1808,5335000,0
914.HK,D,20060705,000000,3.2061,3.2061,3.2061,3.2061,3734500,0
914.HK,D,20060710,000000,3.3082,3.3082,3.3082,3.3082,5790254,0
914.HK,D,20060712,000000,3.3208,3.3208,3.3208,3.3208,17136020,0
914.HK,D,20060717,000000,3.3208,3.3208,3.3208,3.3208,0,0
914.HK,D,20060719,000000,3.3208,3.3208,3.3208,3.3208,0,0
914.HK,D,20060724,000000,3.3208,3.3208,3.3208,3.3208,0,0
914.HK,D,20060726,000000,3.3208,3.3208,3.3208,3.3208,0,0
914.HK,D,20060731,000000,3.3208,3.3208,3.3208,3.3208,0,0
914.HK,D,20060802,000000,3.2516,3.2516,3.2516,3.2516,4687687,0
914.HK,D,20060807,000000,3.557,3.557,3.557,3.557,1472459,0
914.HK,D,20060809,000000,3.7814,3.7814,3.7814,3.7814,4943766,0
914.HK,D,20060814,000000,3.6692,3.6692,3.6692,3.6692,1002980,0
914.HK,D,20060816,000000,3.6186,3.6186,3.6186,3.6186,818033,0
914.HK,D,20060821,000000,3.4507,3.4507,3.4507,3.4507,2660386,0
914.HK,D,20060823,000000,3.6641,3.6641,3.6641,3.6641,4915314,0
914.HK,D,20060828,000000,3.5934,3.5934,3.5934,3.5934,2597700,0
914.HK,D,20060830,000000,3.7197,3.7197,3.7197,3.7197,5754688,0
914.HK,D,20060901,000000,3.7147,3.7147,3.7147,3.7147,3930118,0
914.HK,D,20060906,000000,4.02,4.02,4.02,4.02,3799745,0
914.HK,D,20060908,000000,4.0302,4.0302,4.0302,4.0302,4374700,0
914.HK,D,20060913,000000,4.107,4.107,4.107,4.107,4623666,0
914.HK,D,20060915,000000,4.2444,4.2444,4.2444,4.2444,953187,0
914.HK,D,20060920,000000,4.1728,4.1728,4.1728,4.1728,4445834,0
914.HK,D,20060922,000000,4.122,4.122,4.122,4.122,6458908,0
914.HK,D,20060927,000000,3.8066,3.8066,3.8066,3.8066,4211095,0
914.HK,D,20060929,000000,3.9239,3.9239,3.9239,3.9239,4972220,0
914.HK,D,20061005,000000,3.9441,3.9441,3.9441,3.9441,13550901,0
914.HK,D,20061009,000000,3.9492,3.9492,3.9492,3.9492,3997692,0
914.HK,D,20061012,000000,4.2293,4.2293,4.2293,4.2293,5512834,0
914.HK,D,20061016,000000,4.2849,4.2849,4.2849,4.2849,1081226,0
914.HK,D,20061019,000000,4.3971,4.3971,4.3971,4.3971,2717294,0
914.HK,D,20061023,000000,4.5042,4.5042,4.5042,4.5042,1536481,0
914.HK,D,20061026,000000,4.4527,4.4527,4.4527,4.4527,2617706,0
914.HK,D,20061031,000000,4.4022,4.4022,4.4022,4.4022,7554360,0
914.HK,D,20061103,000000,4.3305,4.3305,4.3305,4.3305,3535328,0
914.HK,D,20061107,000000,4.2495,4.2495,4.2495,4.2495,13008508,0
914.HK,D,20061110,000000,4.2394,4.2394,4.2394,4.2394,7227146,0
914.HK,D,20061114,000000,4.219,4.219,4.219,4.219,5698509,0
914.HK,D,20061116,000000,4.2748,4.2748,4.2748,4.2748,10334608,0
914.HK,D,20061121,000000,4.3718,4.3718,4.3718,4.3718,41065275,0
914.HK,D,20061123,000000,5.0381,5.0381,5.0381,5.0381,12106895,0
914.HK,D,20061128,000000,5.5214,5.5214,5.5214,5.5214,11047540,0
914.HK,D,20061130,000000,6.1963,6.1963,6.1963,6.1963,12441221,0
914.HK,D,20061205,000000,6.0688,6.0688,6.0688,6.0688,6805923,0
914.HK,D,20061207,000000,5.713,5.713,5.713,5.713,12974720,0
914.HK,D,20061212,000000,5.4709,5.4709,5.4709,5.4709,12496727,0
914.HK,D,20061214,000000,5.8269,5.8269,5.8269,5.8269,15817768,0
914.HK,D,20061219,000000,6.1574,6.1574,6.1574,6.1574,2949188,0
914.HK,D,20061221,000000,6.2089,6.2089,6.2089,6.2089,4367061,0
914.HK,D,20061228,000000,6.6922,6.6922,6.6922,6.6922,3731696,0
914.HK,D,20070102,000000,6.7428,6.7428,6.7428,6.7428,2622018,0
914.HK,D,20070105,000000,6.4122,6.4122,6.4122,6.4122,3307343,0
914.HK,D,20070109,000000,6.4122,6.4122,6.4122,6.4122,1821120,0
914.HK,D,20070112,000000,6.2723,6.2723,6.2723,6.2723,2607519,0
914.HK,D,20070116,000000,6.6542,6.6542,6.6542,6.6542,7035087,0
914.HK,D,20070119,000000,6.7681,6.7681,6.7681,6.7681,5458773,0
914.HK,D,20070123,000000,6.8449,6.8449,6.8449,6.8449,1885033,0
914.HK,D,20070125,000000,6.8449,6.8449,6.8449,6.8449,10499458,0
914.HK,D,20070130,000000,6.7816,6.7816,6.7816,6.7816,6366434,0
914.HK,D,20070201,000000,6.7302,6.7302,6.7302,6.7302,2620616,0
914.HK,D,20070206,000000,6.3742,6.3742,6.3742,6.3742,7898710,0
914.HK,D,20070208,000000,6.3237,6.3237,6.3237,6.3237,10243201,0
914.HK,D,20070213,000000,5.9415,5.9415,5.9415,5.9415,11379467,0
914.HK,D,20070215,000000,6.2974,6.2974,6.2974,6.2974,2398809,0
914.HK,D,20070222,000000,6.3616,6.3616,6.3616,6.3616,3336153,0
914.HK,D,20070226,000000,5.9921,5.9921,5.9921,5.9921,8535837,0
914.HK,D,20070301,000000,5.7256,5.7256,5.7256,5.7256,9144944,0
914.HK,D,20070305,000000,5.7508,5.7508,5.7508,5.7508,8667596,0
914.HK,D,20070308,000000,6.3616,6.3616,6.3616,6.3616,10442373,0
914.HK,D,20070312,000000,6.6028,6.6028,6.6028,6.6028,5000674,0
914.HK,D,20070315,000000,6.5902,6.5902,6.5902,6.5902,5526349,0
914.HK,D,20070319,000000,6.5141,6.5141,6.5141,6.5141,3354734,0
914.HK,D,20070322,000000,6.6922,6.6922,6.6922,6.6922,3741614,0
914.HK,D,20070326,000000,6.7555,6.7555,6.7555,6.7555,4488513,0
914.HK,D,20070329,000000,7.2396,7.2396,7.2396,7.2396,5402577,0
914.HK,D,20070402,000000,7.0871,7.0871,7.0871,7.0871,3351134,0
914.HK,D,20070404,000000,7.5576,7.5576,7.5576,7.5576,6461817,0
914.HK,D,20070412,000000,8.1556,8.1556,8.1556,8.1556,11642394,0
914.HK,D,20070416,000000,9.0972,9.0972,9.0972,9.0972,15543388,0
914.HK,D,20070419,000000,8.5871,8.5871,8.5871,8.5871,3821639,0
914.HK,D,20070423,000000,8.7914,8.7914,8.7914,8.7914,1395721,0
914.HK,D,20070426,000000,8.3968,8.3968,8.3968,8.3968,2987601,0
914.HK,D,20070430,000000,8.0156,8.0156,8.0156,8.0156,0,0
914.HK,D,20070504,000000,8.0156,8.0156,8.0156,8.0156,0,0
914.HK,D,20070508,000000,8.8616,8.8616,8.8616,8.8616,5434588,0
914.HK,D,20070511,000000,8.8866,8.8866,8.8866,8.8866,3814052,0
914.HK,D,20070515,000000,9.3477,9.3477,9.3477,9.3477,2752860,0
914.HK,D,20070518,000000,9.988,9.988,9.988,9.988,7888687,0
914.HK,D,20070522,000000,10.91,10.91,10.91,10.91,9610113,0
914.HK,D,20070528,000000,10.897,10.897,10.897,10.897,3050973,0
914.HK,D,20070530,000000,10.578,10.578,10.578,10.578,7880927,0
914.HK,D,20070604,000000,11.602,11.602,11.602,11.602,3689017,0
914.HK,D,20070606,000000,11.344,11.344,11.344,11.344,9248087,0
914.HK,D,20070611,000000,10.961,10.961,10.961,10.961,3352428,0
914.HK,D,20070613,000000,10.756,10.756,10.756,10.756,4041931,0
914.HK,D,20070618,000000,11.756,11.756,11.756,11.756,16096073,0
